title,company,location,description,date_posted,date_scraped,salary,skills,remote
Ruby on Rails Engineer,WSI Nationwide,"White Plains, NY","Senior Ruby on Rails Engineer / Ruby on Rails Developer, full stack developer for a White Plains, NY based technology company that seeks a very talented Ruby on Rails Engineer / Ruby on Rails Developer to help lead, build, and enhance a rapidly growing company.-Qualified Senior Ruby on Rails Engineer / Ruby on Rails Developer candidates will have:-1-3 years Ruby on Rails development skillsJavaScript skillsServer Side and Database integration skillsExperience with web services-The selected Senior Ruby on Rails Engineer / Ruby on Rails Developer candidate will:-Be part of an Agile development team and be comfortable working in a pair programming environmentHave a big role in developing new features and utilizing great codeHave a passion for building exceptional web products-What you get:-Competitive salary and equityVery unique and successful business cultureAmazing work location with great autonomy and project ownership-This outstanding career opportunity is based in the White Plains, NY area offering competitive starting base salary in the $130,000.00 - $150,000.00 per year range based on experience plus full benefits. Your asking compensation will be submitted after your approval. Candidates with solid skills, competitive compensation requirements will be reviewed first.-If you know someone who might qualify, (No 3rd party referrals or agencies for any WSI requirements. Please don't call to ask if there any exceptions, there aren't), e-mail a Word or RTF resume with contact information, address and phones to Jay D., with the subject line of this message in the subject line of the message you send, (no URL resume links and please do not return a copy of this announcement with your response) at jayd@wsinationwide.com, call 212-410-1400 or fax to 212-426-2558.-(To insure formatting & print quality, you may also mail a copy to me at WSI Nationwide, Inc, 1617 Third Avenue, Box #286415, New York, NY 10128-0004).-When resumes are received, the candidate is contacted if there is a match, the situation is thoroughly described and the candidate tells us how they would like us to proceed. No information leaves our office without prior approval. This creates long term relationships, which we encourage.",Posted 14 minutes ago,2017-10-19 09:01:13 -0500,"","Ruby on Rails development, JavaScript, Server Side and Database integration, web services","$130,000-$150,000/yrTelecommuting not available"
Ruby on Rails Engineer,WSI Nationwide,"New York, NY","Ruby on Rails Engineer / Ruby on Rails Developer, full stack developer for a New York City based technology company that seeks a very talented Ruby on Rails Engineer / Ruby on Rails Developer to help lead, build, and enhance a rapidly growing company.-Qualified Ruby on Rails Engineer / Ruby on Rails Developer candidates will have:-1-3 years Ruby on Rails development skillsJavaScript skillsServer Side and Database integration skillsExperience with web services-The selected Ruby on Rails Engineer / Ruby on Rails Developer candidate will:-Be part of an Agile development team and be comfortable working in a pair programming environmentHave a big role in developing new features and utilizing great codeHave a passion for building exceptional web products-What you get:-Competitive salary and equityVery unique and successful business cultureAmazing work location with great autonomy and project ownership-This outstanding career opportunity is based in the New York City area offering competitive starting base salary in the $90,000.00 - $110,000.00 per year range based on experience plus full benefits. Your asking compensation will be submitted after your approval. Candidates with solid skills, competitive compensation requirements will be reviewed first.--This outstanding career opportunity is based in New York offers a competitive starting base salary in the $90,000.00 - $110,000.00 plus bonus per year range based on experience plus full benefits. Your asking compensation will be submitted after your approval. Candidates with solid skills, competitive compensation requirements will be reviewed first.-If you know someone who might qualify, (No 3rd party referrals or agencies for any WSI requirements. Please don't call to ask if there any exceptions, there aren't), e-mail a Word or RTF resume with contact information, address and phones to Jay D., with the subject line of this message in the subject line of the message you send, (no URL resume links and please do not return a copy of this announcement with your response) at jayd@wsinationwide.com, call 212-410-1400 or fax to 212-426-2558.-(To insure formatting & print quality, you may also mail a copy to me at WSI Nationwide, Inc, 1617 Third Avenue, Box #286415, New York, NY 10128-0004).-When resumes are received, the candidate is contacted if there is a match, the situation is thoroughly described and the candidate tells us how they would like us to proceed. No information leaves our office without prior approval. This creates long term relationships, which we encourage.",Posted 30 minutes ago,2017-10-19 09:01:14 -0500,"","1-3 years Ruby on Rails development, JavaScript, Server Side and Database integration, web services","$90,000.00-$110,000Telecommuting not available"
Ruby on Rails Engineer,CyberCoders,"Pasadena, CA","Minimum Required Skills:RUBY, Rails, JavaScript, HTML, SASS, Angular, REACTIf you are a Ruby on Rails Engineer in the Pasadena/LA area, read on!We are a tech startup based in Pasadena, CA, and we have one of the sharpest teams around!We are currently looking for a Ruby on Rails Engineer to join our team and start ASAP!If you're looking for a great new opportunity, you've found it!Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- RUBY- Rails- JavaScript- HTML- SASS- Angular- REACTSo, if you are a Ruby on Rails Engineer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:15 -0500,"","RUBY, Rails, JavaScript, HTML, SASS, Angular, REACT - RUBY, Rails, JavaScript, HTML, SASS, Angular, REACT",UnspecifiedTelecommuting not available
Senior Full Stack Ruby on Rails...,CyberCoders,"Redding, CA","Minimum Required Skills:Ruby On Rails, JavaScript, ReactJS, Redux, Sagas, Ruby on Rails / RoR / Ruby / Rails, Front-End Development, RUBY, Back-End Development, Senior DeveloperIf you are a Senior Full Stack Ruby on Rails Engineer with experience, please read on!Top Reasons to Work with UsWe are a rapidly growing start up with a sports based application and complete system for managing your youth sports organization. You will provide key input into many decisions, ranging from technical to process to hiring future team members. This is a great time to get on board and help shape the team and product. You are no longer just a cog in the machine, but a true and tried voice to help us grow.What You Will Be DoingLeading a small development team and making sound strategic decisions while working with Ruby on Rails and JavaScript.What You Need for this PositionHas at least 3 years experience with Ruby on Rails and JavaScriptHas at least a working knowledge of ReactJS, Redux, and SagasBrings a high level of discipline to every day developmentWrites automated tests for the production code they writeExperience leading a team of engineersCan effectively discuss tradeoffs with non-technical team membersIs very product minded and easily develops empathy for usersBonus points ifYou have first hand experience with youth sportsYou have professional experience working with another back-end tech stack before RubyYou also have experience building native mobile applicationsWhat's In It for You$100K-175K based on experienceCompensation includes salary as well as the possibility for equity and benefits.So, if you are a Senior Full Stack Ruby on Rails Engineer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:16 -0500,"","Ruby On Rails, JavaScript, ReactJS, Redux, Sagas, Ruby on Rails / RoR / Ruby / Rails, Front-End Development, RUBY, Back-End Development, Senior Developer - Ruby On Rails, JavaScript, ReactJS, Redux, Sagas, Ruby on Rails / RoR / Ruby / Rails, Front-End Development, RUBY, Back-End Development, Senior Developer","$100,000 - $150,000Telecommuting not available"
Senior Ruby on Rails Engineer,CyberCoders,"Santa Monica, CA","Minimum Required Skills:Ruby On Rails, AWS, Linux, Computer Science, Object Oriented DevelopmentWe are a streaming media company in the business of entertaining and uplifting original content. Our goal is to provide the world with beautiful stories that the whole family can enjoy together. Spanning across technology platforms galore, gorgeous work and inspiring messages are reaching all around the world.We're looking for an unparalleled Senior Ruby on Rails developer to take charge of development and architecture efforts while innovating on our dynamic web application.What You Will Be Doing- Building robust and scalable software in Ruby and Ruby on Rails- Design and create microservices and architecture for the items you work on- Work on integrations with other internal and external teams- Participate in creating and clarifying User Stories, and in planning Sprints- Dive into hard problems and successfully deliver great results on scheduleWhat You Need for this Position- Ruby on Rails experience or knowledge- Object Oriented Programming background (Ruby, Python, Java, C++, C#, etc.)- Proven track record of developing and maintaining multiple APIs- Experience with authentication- Strong computer science fundamentals (design patterns, algorithms, etc.)- Experience with Amazon Web Services- An entrepreneurial spirit!- Desire Spree KnowledgeWhat's In It for You- Competitive Base Salary- Great Benefits- Fun company events- 401K- Fully-stocked kitchen- Ability to wear jeans and a t-shirt- A fantastic atmosphere at our HQSo if you're a strong Ruby on Rails Engineer, apply today!  Interviews are happening now!Or, email your resume directly to Stephanie.Cluney@CyberCoders.comOnly candidates authorized to work full-time for any employer in the US will be considered.Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:17 -0500,"","Ruby On Rails, AWS, Linux, Computer Science, Object Oriented Development - Ruby On Rails, AWS, Linux, Computer Science, Object Oriented Development","$100,000 - $140,000Telecommuting not available"
Ruby on Rails Engineer,Strategic Employment Partners,"New York, NY","This innovative software start-up located in New York City is looking for a Senior Ruby on Rails Engineer to help work on their core B2B software product. If you enjoy programming in Ruby on Rails, then this is the position for you. This position will be a full-time role that will require you to work onsite. Compensation: $120-150k DOE plus benefitsJob Description:·        Work with a small team of software engineers and business professionals ·        Construct interactive software using Ruby on Rails·        Demonstrate and utilize strong coding abilities with the ability to see a product through independently and on a teamRequirements·        5+ years of experience as a software engineer·        Strong professional experience with Ruby on Rails Pluses:·        Experience with Heroku·        Experience working in a startup ",Posted 2 hours ago,2017-10-19 09:01:18 -0500,"","Ruby on Rails, ROR, heroku",150000.00Telecommuting not available
Ruby on Rails Engineer -...,CyberCoders,"San Francisco, CA","Minimum Required Skills:Ruby On Rails, PostgreSQL / MySQL, JavaScript Frameworks (Angular / React), AWS and/or HerokuIf you are a Software Engineer with Ruby on Rails experience that is interested in working with massive amounts of data, please read on!Based in San Francisco, we are a leading analytics company measures the way media influences people to visit places.   Our analytics platform provides new insights into the way owned, paid and earned media exposures impact visitation from users.  We are working with massive amounts of data...a few BILLION DATA POINTS A DAY!!!!  Our proprietary platform is the first of its kind and we have zero competitors in our space.  Our clients include leading travel organizations such as TripAdvisor, VisitCalifornia.com, Disney, and many more.  This is a great opportunity to have a huge impact on a small team and work directly with our CTO.  We have offices in San Francisco and New York, so you will have the opportunity to visit both and work out of either location.  We are currently looking for a highly motivated, full-stack engineer who is interested in big data to build and ship our next generation online analytics platform. As a Full Stack Engineer, you will be responsible for building products that offer outstanding user experience to our end users, powered by one of the largest mobile location data sets in the industry.  If this sounds interesting to you, then apply ASAP!Top Reasons to Work with Us- Competitive Salary- Equity- Work with massive data that you won't find anywhere else!- Have a big impact in our product and companyWhat You Need for this Position- Ruby On Rails- PostgreSQL / MySQL- JavaScript Frameworks (Angular / React)- Heroku and/or AWS Huge bonus points for:- Visualization tools (D3.js / Highcharts) - Big Data experienceSo, if you are a Software Engineer with Ruby on Rails experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:21 -0500,"","Ruby On Rails, PostgreSQL / MySQL, JavaScript Frameworks (Angular / React), AWS and/or Heroku - Ruby On Rails, PostgreSQL / MySQL, JavaScript Frameworks (Angular / React), AWS and/or Heroku",UnspecifiedTelecommuting not available
Lead Ruby on Rails Engineer,CyberCoders,"Mountain View, CA","Minimum Required Skills:Ruby On Rails, AWS, Enterprise, SaaSDo you want to know how the future is going to work? Do you want to be involved with a company that will be brilliant?Well if you do and you love the SaaS, then read on!  We need to find a hands-on Ruby On Rails expertise!Top Reasons to Work with UsThis is an exciting role in a high energy startup.  We are in high-growth mode and our technology is  disrupting an industry that has changed little in 20 years.  We know how to listen and we know we are passionate.As a Director of Engineering--you will help Fortune 500 enterprise customers instill a culture of continuous learning into their organization.What You Will Be DoingSupport a highly available, secure and scalable enterprise application in the cloud. We're looking for someone that wants to make a difference, someone who has been passionate about helping customers even when it means it might impact the bottom line. We want a Director who still loves to code AND enjoys building a team.What You Need for this Position5+ years of Software Engineering experience including the following:Ruby On Rails expertiseAWS expertiseExperience in a Startup or SaaS/Enterprise environment is essential.A passion for solving complex customer problems in the most robust and fastest way possible.What's In It for YouHighly competitive salary- Benefits- Flexible schedule- Stock OptionsSo, if you are a Ruby-on-Rails expert looking to elevate your skills while elevating our product then I look forward to you emailing your resume to me at brian.ward@cybercoders.comApplicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:22 -0500,"","Ruby On Rails, AWS, Enterprise, SaaS - Ruby On Rails, AWS, Enterprise, SaaS","$120,000 - $140,000Telecommuting not available"
Full Stack Ruby on Rails Engineers,Elevano,"Boston, MA","Our Client is looking to hire a talented Full Stack Ruby on Rails Developer to join their team. You will be working on the next iteration of their product. They expect you to be sharp, with ideas, and articulate! Here's what you need:Ruby on Rails developmentPostgreSQL, Bootstrap, jQueryWorked on web applicationsConsumer facing appsBS DegreeClient:Stock optionsMedical dental vision benefitsUnlimited vacation policy401kCatered lunches and breakfastBeer o clock FridaysHigh growth potential $18M in fundingElevano is a premier provider of innovative Information Technology Solutions and Resources.  We offer a wealth of employment opportunities for technical professionals. You will be empowered to do the best job and achieve your professional goals.  Our goal is to match your talent to the best job.  Elevano is an equal opportunity employer. Elevano Consulting Inc.Web: http://www.elevano.com",Posted 1 day ago,2017-10-19 09:01:24 -0500,"","Ruby on Rails, JavaScript,Redis, PostgreSQL, nginx, ror, ruby, rails, python, django, rest, elastic search",$80-200KTelecommuting not available
Ruby on Rails Engineer - 100%...,CyberCoders,"Menlo Park, CA","Minimum Required Skills:RUBY, Rails, Javascript Frameworks, SOA, REST APIs, Microservices, AWS, UNIXWe are a Biotech software and services company focused on the development, refinement and advancement of genomic diagnostic technologies. We are a fully integrated organization that owns our methods from early scientific research all the way through the execution/analysis of diagnostic tests in physicians' offices. While we consider ourselves a leader in the DNA mapping industry, we cannot continue to stay at the forefront without talented individuals with a passion for advancement. Prior experience in biotech is not required but is a plus. We are seeking candidates that have a desire to challenge themselves and the technical foundation to keep up in a fast paced and technically astute team. This is a priority hire for the team and interviews are ongoing! If this sounds like the challenge and team you've been waiting for, do not hesitate to reach out to us.*** Remote candidate must have the ability to hit the ground running with our stack, prior experience working remotely and a track record of success in full time positions.  We are not interested in contractors/consultants for this position***Top Reasons to Work with Us- Design and developer enterprise applications/services that enable cutting edge genomic advances- Work alongside a team of talented technical and life science professionals- Impressive benefits, wellness programs, catered lunches and onsite amenitiesWhat You Will Be Doing- Design and implement dependable middle-tier services- Optimize front end applications - Collaborate with team to define requirements and develop various custom enterprise web applications and/or platforms- System integration testing- Identify metrics to measure system health and performance- Training relating to HIPAA/PHI privacy, General Policies and Procedure Compliance training will be provided in the first month of employmentWhat You Need for this Position- Bachelor of Science in Computing Science or related discipline - 4+ years of experience in Software development- Ruby on Rails - Experience developing/integrating SOA and microservices- REST APIs with JSON- Javascript frameworks such as: React, AngularJS, Backbone, Redux, ES6... etc. - AWSWhat's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (DOE), medical/dental/health benefits, wellness plans, PTO, catered lunches, snacks, onsite gym, dry cleaning services, happy hours and other cool perks.Interviews are ongoing. So, please FULLY COMPLETE THE APPLICATION QUESTIONS INCLUDING THE SELF ASSESSMENT ASAP! Complete applications will receive priority!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:25 -0500,"","RUBY, Rails, Javascript Frameworks, SOA, REST APIs, Microservices, AWS, UNIX - RUBY, Rails, Javascript Frameworks, SOA, REST APIs, Microservices, AWS, UNIX",UnspecifiedTelecommuting not available
